Date;Start (ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Wed, Jan 1, 2020;6:00p;Orlando Magic;122;Washington Wizards;101;Box Score;;14,921;
Wed, Jan 1, 2020;7:30p;Portland Trail Blazers;93;New York Knicks;117;Box Score;;19,812;
Wed, Jan 1, 2020;8:00p;Minnesota Timberwolves;104;Milwaukee Bucks;106;Box Score;;17,819;
Wed, Jan 1, 2020;10:30p;Phoenix Suns;107;Los Angeles Lakers;117;Box Score;;18,997;
Thu, Jan 2, 2020;7:00p;Charlotte Hornets;109;Cleveland Cavaliers;106;Box Score;;17,859;
Thu, Jan 2, 2020;7:00p;Denver Nuggets;124;Indiana Pacers;116;Box Score;;16,688;
Thu, Jan 2, 2020;7:30p;Toronto Raptors;76;Miami Heat;84;Box Score;;19,939;
Thu, Jan 2, 2020;8:00p;Utah Jazz;102;Chicago Bulls;98;Box Score;;19,398;
Thu, Jan 2, 2020;8:00p;Golden State Warriors;84;Minnesota Timberwolves;99;Box Score;;15,477;
Thu, Jan 2, 2020;8:30p;Brooklyn Nets;111;Dallas Mavericks;123;Box Score;;20,289;
Thu, Jan 2, 2020;8:30p;Oklahoma City Thunder;109;San Antonio Spurs;103;Box Score;;18,354;
Thu, Jan 2, 2020;10:00p;Memphis Grizzlies;123;Sacramento Kings;128;Box Score;;17,351;
Thu, Jan 2, 2020;10:30p;Detroit Pistons;112;Los Angeles Clippers;126;Box Score;;19,068;
Fri, Jan 3, 2020;7:00p;Atlanta Hawks;106;Boston Celtics;109;Box Score;;19,156;
Fri, Jan 3, 2020;7:00p;Miami Heat;85;Orlando Magic;105;Box Score;;17,198;
Fri, Jan 3, 2020;7:00p;Portland Trail Blazers;122;Washington Wizards;103;Box Score;;17,945;
Fri, Jan 3, 2020;8:00p;Philadelphia 76ers;108;Houston Rockets;118;Box Score;;18,055;
Fri, Jan 3, 2020;9:00p;New York Knicks;112;Phoenix Suns;120;Box Score;;18,055;
Fri, Jan 3, 2020;10:30p;New Orleans Pelicans;113;Los Angeles Lakers;123;Box Score;;18,997;
Sat, Jan 4, 2020;3:30p;Memphis Grizzlies;140;Los Angeles Clippers;114;Box Score;;19,068;
Sat, Jan 4, 2020;6:00p;Toronto Raptors;121;Brooklyn Nets;102;Box Score;;17,732;
Sat, Jan 4, 2020;7:00p;Utah Jazz;109;Orlando Magic;96;Box Score;;16,913;
Sat, Jan 4, 2020;7:30p;Indiana Pacers;111;Atlanta Hawks;116;Box Score;;16,42;
Sat, Jan 4, 2020;7:30p;Oklahoma City Thunder;121;Cleveland Cavaliers;106;Box Score;;19,432;
Sat, Jan 4, 2020;8:00p;Boston Celtics;111;Chicago Bulls;104;Box Score;;21,13;
Sat, Jan 4, 2020;8:00p;Denver Nuggets;114;Washington Wizards;128;Box Score;;16,233;
Sat, Jan 4, 2020;8:30p;Charlotte Hornets;123;Dallas Mavericks;120;Box Score;OT;20,327;
Sat, Jan 4, 2020;8:30p;Detroit Pistons;111;Golden State Warriors;104;Box Score;;18,064;
Sat, Jan 4, 2020;8:30p;San Antonio Spurs;118;Milwaukee Bucks;127;Box Score;;18,002;
Sat, Jan 4, 2020;10:00p;New Orleans Pelicans;117;Sacramento Kings;115;Box Score;;16,808;
Sun, Jan 5, 2020;3:30p;New York Knicks;132;Los Angeles Clippers;135;Box Score;;19,068;
Sun, Jan 5, 2020;6:00p;Portland Trail Blazers;111;Miami Heat;122;Box Score;;19,846;
Sun, Jan 5, 2020;7:30p;Minnesota Timberwolves;118;Cleveland Cavaliers;103;Box Score;;16,159;
Sun, Jan 5, 2020;8:00p;Memphis Grizzlies;121;Phoenix Suns;114;Box Score;;14,181;
Sun, Jan 5, 2020;10:00p;Detroit Pistons;99;Los Angeles Lakers;106;Box Score;;18,997;
Mon, Jan 6, 2020;7:00p;Indiana Pacers;115;Charlotte Hornets;104;Box Score;;13,009;
Mon, Jan 6, 2020;7:00p;Brooklyn Nets;89;Orlando Magic;101;Box Score;;15,008;
Mon, Jan 6, 2020;7:00p;Oklahoma City Thunder;113;Philadelphia 76ers;120;Box Score;;20,561;
Mon, Jan 6, 2020;7:00p;Boston Celtics;94;Washington Wizards;99;Box Score;;17,963;
Mon, Jan 6, 2020;7:30p;Denver Nuggets;123;Atlanta Hawks;115;Box Score;;15,286;
